,lat,lon,landmask,pv_land_cover_urban_high,wind_land_cover_urban_medium_high,fed_and_state_protected,wind_slope_over_20p,config
34832,30.692085,-123.25185,0.0,0,0,0,0,def
34833,30.742157,-123.177505,0.0,0,0,0,0,def
34834,30.792194,-123.10304,0.0,0,0,0,0,def
34835,30.84217,-123.02849,0.0,0,0,0,0,def
34836,30.892101,-122.95381,0.0,0,0,0,0,def
34837,30.941978,-122.87903,0.0,0,0,0,0,def
34838,30.991814,-122.80414,0.0,0,0,0,0,def
34839,31.0416,-122.72914,0.0,0,0,0,0,def
34840,31.091328,-122.65402,0.0,0,0,0,0,def
34841,31.14101,-122.57881,0.0,0,0,0,0,def
34842,31.19064,-122.503494,0.0,0,0,0,0,def
34843,31.240215,-122.428055,0.0,0,0,0,0,def
34844,31.289738,-122.35251,0.0,0,0,0,0,def
34845,31.33923,-122.276855,0.0,0,0,0,0,def
34846,31.388653,-122.201096,0.0,0,0,0,0,def
34847,31.43803,-122.12521,0.0,0,0,0,0,def
34848,31.487343,-122.049225,0.0,0,0,0,0,def
34849,31.536625,-121.973145,0.0,0,0,0,0,def
34850,31.585842,-121.89694,0.0,0,0,0,0,def
34851,31.635006,-121.82063,0.0,0,0,0,0,def
34852,31.68412,-121.7442,0.0,0,0,0,0,def
34853,31.733177,-121.66768,0.0,0,0,0,0,def
34854,31.782196,-121.591034,0.0,0,0,0,0,def
34855,31.831154,-121.51428,0.0,0,0,0,0,def
34856,31.88004,-121.43741,0.0,0,0,0,0,def
34857,31.928894,-121.36044,0.0,0,0,0,0,def
34858,31.977695,-121.283356,0.0,0,0,0,0,def
34859,32.02643,-121.20616,0.0,0,0,0,0,def
34860,32.075108,-121.12886,0.0,0,0,0,0,def
34861,32.123745,-121.05144,0.0,0,0,0,0,def
34862,32.17233,-120.97391,0.0,0,0,0,0,def
34863,32.22085,-120.89627,0.0,0,0,0,0,def
34864,32.26931,-120.81851,0.0,0,0,0,0,def
34865,32.317722,-120.74066,0.0,0,0,0,0,def
34866,32.36609,-120.66269,0.0,0,0,0,0,def
34867,32.41439,-120.584595,0.0,0,0,0,0,def
34868,32.462627,-120.50641,0.0,0,0,0,0,def
34869,32.51082,-120.4281,0.0,0,0,0,0,def
34870,32.55896,-120.34967,0.0,0,0,0,0,def
34871,32.607037,-120.27115,0.0,0,0,0,0,def
34872,32.655052,-120.192505,0.0,0,0,0,0,def
